"state","statecode","date","confirmed","active","recovered","deaths","deltaconfirmed","deltadeaths","deltarecovered"
"Himachal Pradesh","HP",2020-05-08,"47","7","34","3","1","0","0"
"Assam","AS",2020-05-08,"57","20","35","2","3","1","0"
"Uttarakhand","UT",2020-05-08,"63","17","45","1","2","0","6"
"Chandigarh","CH",2020-05-08,"146","124","21","1","11","0","0"
"Odisha","OR",2020-05-08,"270","205","63","2","51","0","1"
"Kerala","KL",2020-05-08,"504","16","484","4","1","0","10"
"Bihar","BR",2020-05-08,"571","299","267","5","21","0","49"
"Haryana","HR",2020-05-08,"633","355","270","8","8","1","10"
"Karnataka","KA",2020-05-08,"753","346","376","30","48","0","10"
"Jammu and Kashmir","JK",2020-05-08,"823","450","364","9","30","0","29"
"Punjab","PB",2020-05-08,"1731","1550","152","29","87","1","3"
"Andhra Pradesh","AP",2020-05-08,"1887","1004","842","41","54","3","62"
"Rajasthan","RJ",2020-05-08,"3491","1475","1916","100","64","1","27"
"Tamil Nadu","TN",2020-05-08,"6009","4364","1605","40","600","3","58"
"Total","TT",2020-05-08,"57332","38388","17041","1899","981","10","265"
"Andaman and Nicobar Islands","AN",2020-05-07,"33","0","33","0","0","0","0"
"Tripura","TR",2020-05-07,"88","86","2","0","0","0","0"
"Jharkhand","JH",2020-05-07,"132","88","41","3","0","0","0"
"Telangana","TG",2020-05-07,"1122","400","693","29","0","0","0"
"West Bengal","WB",2020-05-07,"1548","1101","296","151","0","0","0"
"Uttar Pradesh","UP",2020-05-07,"3071","1759","1250","62","0","0","0"
"Madhya Pradesh","MP",2020-05-07,"3252","1828","1231","193","0","0","0"
"Delhi","DL",2020-05-07,"5980","3983","1931","66","0","0","0"
"Gujarat","GJ",2020-05-07,"7013","4879","1709","425","0","0","0"
"Maharashtra","MH",2020-05-07,"17974","13979","3301","694","0","0","0"
"Dadra and Nagar Haveli and Daman and Diu","DN",2020-05-05,"1","1","0","0","0","0","0"
"Mizoram","MZ",2020-05-05,"1","0","1","0","0","0","0"
"Puducherry","PY",2020-05-05,"9","3","6","0","0","0","0"
"Chhattisgarh","CT",2020-05-05,"59","23","36","0","0","0","0"
"Ladakh","LA",2020-05-03,"42","25","17","0","0","0","0"
"Meghalaya","ML",2020-05-01,"12","1","10","1","0","0","0"
"Nagaland","NL",2020-04-20,"0","0","0","0","0","0","0"
"Manipur","MN",2020-04-20,"2","0","2","0","0","0","0"
"Goa","GA",2020-04-19,"7","0","7","0","0","0","0"
"Arunachal Pradesh","AR",2020-04-16,"1","0","1","0","0","0","0"
"Sikkim","SK",2020-03-26,"0","0","0","0","0","0","0"
"Lakshadweep","LD",2020-03-26,"0","0","0","0","0","0","0"
"Daman and Diu","DD",2020-03-26,"0","0","0","0","0","0","0"
