"dateyear","dailyconfirmed","totalconfirmed","dailydeceased","totaldeceased","dailyrecovered","totalrecovered","totalsamplestested","Dailysampletested"
2020-05-07,"3344","56351","104","1889","1475","16776",1357413,80632
2020-05-06,"3602","53007","91","1785","1161","15301",1276781,84835
2020-05-05,"2971","49405","128","1694","1295","14140",1191946,84713
2020-05-04,"3656","46434","103","1566","1082","12845",1107233,60783
2020-05-03,"2952","42778","140","1463","911","11763",1046450,70087
2020-05-02,"2564","39826","92","1323","831","10852",976363,73709
2020-05-01,"2396","37262","77","1231","962","10021",902654,72453
2020-04-30,"1801","34866","75","1154","630","9059",830201,59437
2020-04-29,"1705","33065","71","1079","690","8429",770764,54031
2020-04-28,"1902","31360","69","1008","636","7739",716733,50914
2020-04-27,"1568","29458","58","939","580","7103",665819,40510
2020-04-26,"1607","27890","56","881","585","6523",625309,45352
2020-04-25,"1835","26283","44","825","442","5938",579957,38168
2020-04-24,"1408","24448","59","781","484","5496",541789,41247
2020-04-23,"1667","23040","40","722","642","5012",500542,37921
2020-04-22,"1292","21373","36","682","394","4370",462621,0
2020-04-21,"1537","20081","53","646","703","3976",462621,61035
2020-04-20,"1239","18544","33","593","419","3273",401586,0
2020-04-19,"1580","17305","38","560","388","2854",401586,29463
2020-04-18,"1371","15725","35","522","426","2466",372123,37000
2020-04-17,"922","14354","38","487","273","2040",335123,32167
2020-04-16,"1061","13432","26","449","258","1767",302956,28357
2020-04-15,"886","12371","27","423","144","1509",274599,29706
2020-04-14,"1031","11485","37","396","167","1365",244893,27339
2020-04-13,"1243","10454","27","359","112","1198",217554,21806
2020-04-12,"758","9211","42","332","114","1086",195748,16374
2020-04-11,"854","8453","41","290","186","972",179374,18044
2020-04-10,"871","7599","22","249","151","786",161330,16420
2020-04-09,"813","6728","46","227","70","635",144910,16991
2020-04-08,"565","5915","20","181","96","565",127919,13904
2020-04-07,"573","5350","27","161","75","469",114015,12947
2020-04-06,"484","4777","16","134","65","394",101068,11534
2020-04-05,"609","4293","22","118","43","329",89534,9584
2020-04-04,"579","3684","13","96","56","286",79950,10705
2020-04-03,"560","3105","14","83","39","230",69245,13394
2020-04-02,"486","2545","16","69","22","191",55851,7900
2020-04-01,"424","2059","6","53","19","169",47951,5163
2020-03-31,"309","1635","6","47","13","150",42788,4346
2020-03-30,"187","1326","14","41","35","137",38442,10754
2020-03-27,"153","883","3","19","25","75",27688,2544
2020-03-26,"73","730","5","16","7","50",25144,0
2020-03-25,"86","657","1","11","3","43",25144,2450
2020-03-24,"74","571","1","10","15","40",22694,1987
2020-03-23,"94","497","2","9","2","25",20707,2580
2020-03-22,"69","403","3","7","0","23",18127,1216
2020-03-21,"78","334","0","4","0","23",16911,1507
2020-03-20,"58","256","0","4","3","23",15404,1229
2020-03-19,"27","198","1","4","5","20",14175,1050
2020-03-18,"25","171","0","3","0","15",13125,6625
2020-03-13,"10","91","0","1","6","10",6500,0
